id,origin,code
949716,Native,GU
949716,Native,MP
1315527,Native,CO
1315527,Native,VE
1593392,Native,TZ
1676767,Native,CHC-YN
1676767,Native,CN
1824169,Native,BR
1824169,Native,BZS-RS
1824169,Native,UY
1851516,Native,CHC-YN
1851516,Native,CN
2388572,Native,FJ
2538113,Native,VU
2538737,Native,GU
2538737,Native,MP
2541760,Native,WS
2541760,Native,AS
2541760,Native,SAM-AS
2542677,Native,AS
2754901,Native,CM
2866568,Native,VN
2867993,Native,KH
2867993,Native,TH
2868715,Native,NWG-PN
2868715,Native,PG
18609119,Native,GRC-OO
18609119,Native,GR
18609165,Native,GRC-OO
18609165,Native,GR
18609320,Native,GRC-OO
18609320,Native,GR
18609559,Native,EAI-OO
18609559,Native,GR
18612465,Native,GRC-OO
18612465,Native,GR
18612745,Native,GRC-OO
18612745,Native,GR
18612780,Native,GR
18612865,Native,GRC-OO
18612865,Native,GR
18613335,Native,GRC-OO
18613335,Native,GR
22308615,Native,LK
22319797,Native,LK
42284340,Native,EC
42284340,Native,PE
42533783,Native,ECU-OO
42533783,Native,BO
42533783,Native,PE
42533783,Native,EC
42533943,Native,PE
42533943,Native,ECU-OO
42533943,Native,EC
49009933,Native,PH
50905358,Native,TZ
53817468,Native,BO
53817468,Native,PE
53817563,Native,BO
53817563,Native,PE
53817768,Native,BO
53817768,Native,PE
53817843,Native,BO
53818053,Native,BO
53818073,Native,BO
53818268,Native,BO
53818268,Native,PE
53818423,Native,PE
53818483,Native,BO
53818483,Native,PE
53818598,Native,BO
53818598,Native,PE
54466837,Native,GU
56445288,Native,GRC-OO
56445288,Native,GR
58392370,Native,MG
58603530,Native,HR
58603530,Native,BA
58628756,Native,HR
58628756,Native,SI
61526910,Native,SUL-OO
61526910,Native,ID
61527210,Native,SUM-OO
61527210,Native,ID
61780186,Native,AND-AN
61780186,Native,IN
61963525,Native,KH
61985350,Native,BT
61985350,Native,IN
61985350,Native,CN
61985350,Native,NP
61985350,Native,AF
61985350,Native,PK
61985350,Native,WHM-HP
61985350,Native,CHN-SX
61985350,Native,EHM-AP
61985350,Native,CHC-YN
61985350,Native,WHM-JK
61985350,Native,EHM-SI
61985350,Native,WHM-UT
61985350,Native,CHN-GS
61985350,Native,CHQ-OO
61985350,Native,CHC-SC
61985350,Native,CHT-OO
61988288,Native,KH
61988288,Native,TH
61988288,Native,VN
62028403,Native,GY
63285684,Native,MG
64116486,Native,PH
64116486,Native,SUL-OO
64116486,Native,ID
67533770,Native,CO
67556131,Native,CO
67556131,Native,EC
67694324,Native,EAI-OO
67694324,Native,GR
67743532,Native,PE
67743532,Native,PY
67743532,Native,BR
67743532,Native,BO
67743532,Native,AR
67743532,Native,BZC-GO
67743532,Native,BZE-AL
67743532,Native,BZE-BA
67743532,Native,BZE-CE
67743532,Native,BZE-PI
67743532,Native,BZL-ES
67743532,Native,BZE-RN
67743532,Native,BZC-MS
67743532,Native,BZL-MG
67743532,Native,BZE-PB
67743532,Native,BZE-PE
67743532,Native,BZL-RJ
67743532,Native,BZL-SP
67743532,Native,BZN-TO
67745306,Native,NC
67747954,Native,NC
67750053,Native,NC
67750634,Native,NC
67752415,Native,NC
67752708,Native,NC
67755042,Native,NC
69240604,Native,MG
70114754,Native,MG
70155271,Native,MG
74848112,Native,BR
80702992,Native,NCA-OO
80702992,Native,QUE-OO
80702992,Native,CA
80702992,Native,US
80702992,Native,MAI-OO
80702992,Native,NBR-OO
80702992,Native,NSC-OO
80702992,Native,VRG-OO
80702992,Native,CNT-OO
80702992,Native,GEO-OO
80702992,Native,MAS-OO
80702992,Native,NWH-OO
80702992,Native,PEN-OO
80702992,Native,VER-OO
80702992,Native,RHO-OO
80702992,Native,TEN-OO
80702992,Native,NWJ-OO
80702992,Native,NWY-OO
84547931,Native,TZ
84548168,Native,TZ
84548311,Native,TZ
84549893,Native,TZ
84549934,Native,TZ
84550614,Native,KE
87542256,Native,OM
87712029,Native,CM
87712029,Native,NG
87712029,Native,GGI-BI
87712029,Native,GQ
87758189,Native,GA
88800534,Native,KRI-OO
88800534,Native,GR
91863646,Native,UKR-UK
91863646,Native,UA
95518099,Native,ES
95518099,Native,PT
95518099,Native,POR-OO
95518099,Native,SPA-SP
95538047,Native,SPA-SP
95538047,Native,ES
95538047,Native,FRA-FR
95538047,Native,FR
95538047,Native,PT
95538047,Native,POR-OO
95538047,Native,DZ
95538047,Native,MA
95538047,Native,TN
95539941,Native,GRC-OO
95539941,Native,GR
99514217,Native,FJ
99514345,Native,FJ
99514379,Native,FJ
99514473,Native,FJ
99516043,Native,FJ
99516075,Native,FJ
99516107,Native,FJ
99517236,Native,FJ
99517375,Native,FJ
99517545,Native,FJ
100439972,Native,SL
100439972,Native,GN
100439972,Native,CI
100439972,Native,LR
102827421,Native,PH
102930327,Native,KRI-OO
102930327,Native,GR
102936716,Native,KRI-OO
102936716,Native,GR
103162163,Native,MRQ-OO
103162163,Native,PF
103165380,Native,VU
110089052,Native,CM
110517562,Native,TW
110517562,Native,JP
110517562,Native,PH
110517562,Native,AU
110517562,Native,FJ
110517562,Native,MH
110517562,Native,FM
110517562,Native,NC
110517562,Native,PW
110517562,Native,PG
110517562,Native,SB
110517562,Native,TV
110517562,Native,ID
110517562,Native,MY
110517562,Native,CC
110517562,Native,KI
110517562,Native,VU
110517562,Native,TL
110517562,Native,VN
113049367,Native,BZE-BA
113049367,Native,BR
115603884,Native,CHS-GD
115603884,Native,CN
116123873,Native,CI
116123873,Native,GN
116928584,Native,SUM-OO
116928584,Native,ID
117408779,Native,MLY-PM
117408779,Native,MY
117409013,Native,MLY-PM
117409013,Native,MY
117645817,Native,IND-KE
117645817,Native,IND-TN
117645817,Native,IN
117894247,Native,IN
117894247,Native,CN
117894247,Native,MM
117894247,Native,TH
117894247,Native,BT
117894247,Native,CHC-YN
119048739,Native,IND-TN
119048739,Native,IN
119132078,Native,SCI-OO
119132078,Native,PF
119136137,Native,SCI-OO
119136137,Native,PF
119136432,Native,SCI-OO
119136432,Native,PF
119136772,Native,PF
119136772,Native,SCI-OO
119167048,Introduced,MP
119167048,Native,ID
119167048,Native,TO
119167048,Native,NC
119167048,Introduced,GU
119167048,Native,FJ
119167048,Native,AU
119167048,Native,PG
119167048,Native,CC
119167048,Native,PH
119167048,Native,PW
119167048,Native,VU
119167048,Introduced,MH
119167048,Native,SB
119167048,Introduced,AS
119167048,Introduced,FM
119167048,Introduced,TV
119167048,Introduced,CK
119167048,Native,CX
119167048,Native,TW
119167048,Native,BOR-SB
119167048,Native,MLY-PM
119167048,Introduced,WS
119167048,Native,DT
119167048,Native,SCS-PI
119167048,Native,SCS-SI
119167048,Native,MY
119167307,Native,FJ
119167307,Native,TO
119167307,Native,NC
119173390,Native,YE
