id,code,majorImportance,season
253647117,1_5,,
253647117,1_6,,
253647972,1_6,,
253647972,1_9,,
253648235,1_5,,
254095929,1_5,Yes,Resident
254095929,1_6,Yes,Resident
254178918,5_1,Yes,Resident
254245232,6,Yes,Resident
254245232,1_5,Yes,Resident
254316326,9_8,Yes,Resident
254475508,3_5,Yes,Resident
254561032,3_5,,
254561032,6,,
254561232,6,,
254579769,6,,
254579769,13_1,,
254580373,18,,
254580566,3_7,,
254598349,1_9,Yes,Resident
254598540,1_9,,
254616177,3_8,Yes,Resident
254616177,3_4,Yes,Resident
254645299,3_4,Yes,Resident
254721352,14_1,,Resident
254721352,14_6,,Resident
254721352,1_6,Yes,Resident
254964078,11_1_1,Yes,Resident
254964078,11_1_2,Yes,Resident
254964078,11_5,Yes,Resident
254971919,11_1_1,Yes,Resident
254971919,11_1_2,Yes,Resident
254975849,10_1,Yes,Resident
254975849,10_2,Yes,Resident
254975849,11_1_1,Yes,Resident
254975849,11_1_2,Yes,Resident
254975849,11_5,Yes,Resident
254988584,10_2,Yes,Resident
254988584,11_1_1,Yes,Resident
254988584,11_1_2,Yes,Resident
254988584,11_5,Yes,Resident
255846397,1_5,Yes,
255900486,5_7,,Resident
255900486,15_9,,
257823005,1_9,,
257845000,1_9,,
257845000,1_5,,
257845131,1_5,,
257845287,1_9,,
257845341,1_9,,
257845429,1_9,,
258522418,1_9,,
258522418,1_6,,
258522418,1_5,,
258522478,1_9,,
258522603,1_9,,
258842200,5_4,,Resident
258842200,5_7,,Resident
258842200,5_8,,Resident
258842200,15_7,Yes,Breeding Season
258842200,15_8,Yes,Resident
259049166,11_1_2,Yes,Resident
259144585,1_9,Yes,Resident
259146522,1_9,Yes,Resident
259146805,1_9,Yes,Resident
259357017,14_3,,Resident
259357017,14_6,,Resident
259357017,1_9,Yes,Resident
259357017,1_4,Yes,Resident
259357017,1_6,Yes,Resident
260476217,1_6,,
261786289,4_7,Yes,Resident
261786289,6,Yes,Resident
261786289,3_7,Yes,Resident
261786289,3_8,,Resident
261786289,8_3,Yes,
261786289,5_4,Yes,Resident
262327449,1_6,Yes,Resident
262327449,1_5,,Resident
262327449,1_8,,Resident
262419450,1_6,Yes,Resident
262957892,1_6,,
262959329,1_6,,Resident
262960120,1_6,,
262960264,3_5,,
265025353,1_6,Yes,Resident
265145821,3_4,Yes,
265152365,1_9,,
265152365,1_6,,
265910663,1_5,,
265985821,1_6,,
266877470,6,Yes,Resident
267274929,11_1_1,Yes,Resident
267274929,11_1_2,Yes,Resident
267275997,11_1_2,Yes,Resident
